total_sqft,bath,location,price,size
1650,3,Chikkanagamangala,6500000,2
1200,3,Mariyannapalya,6000000,2
1621,3,Vaishnavi Layout,7500000,3
1241,3,Devinagar,7400000,2
1730,3,Hoodi,9000000,3
1460,3,GD Layout,7600000,3
1227,3,TG Lakevista apartment,5800000,2
545,2,Konappana Agrahara,4500000,2
500,2,Attibele,2500000,1
1740,3,Kothanur,11000000,2
1225,3,Sarjapur Road,7800000,2
1350,3,Siri desire,6000000,3
1710,3,Aishwarya Crystal Layout,9600000,3
1500,3,Jahnvi Meadows,5200000,3
1800,3,Punappa Layout,12000000,3
1100,3,Sahakara Nagar,8200000,2
1080,3,Shetty Halli,7100000,2
1140,3,Devin Paradise Enclave,6400000,2
991,3,Veer Sandra,9000000,2
1490,3,Srinivasa Nagar,11000000,3
1539,3,Chitrkoot annex,22200000,3
1044,3,Yelahanka,7000000,2
1500,3,Hulimavu,13000000,3
1551,3,Bhartiya city nikoo homes 2,12000000,3
2135,4,Gaundanapalya,24000000,3
1411,3,Nagasandra,8500000,3
1500,3,Balaji Layout,8500000,3
1272,3,Dodsworth Layout,9000000,2
1475,3,Somasundarapalya,7000000,3
1854,3,Electronics City Phase 1,12500000,3
1150,3,Nagashetty Halli,11000000,2
1726,3,Mallasandra Village,8600000,3
1200,3,Vittasandra,13000000,5
1330,3,Srinidhi Cintiila apartments,9000000,3
1064,3,Jalahalli Village,7000000,2
1650,3,P&T Layout,9000000,3
1126,3,Sultanpalya,7000000,2
825,3,Mariyannapalya,3900000,2
1200,3,Anantapura,7500000,2
2200,4,Anekal,7000000,3
1305,3,JS Nagar,11000000,3
1718,3,Devin Paradise Enclave,19000000,3
1500,3,Anekal,5400000,2
1320,3,Jnana Ganga Nagar,7000000,2
1704,3,PRINCE TOWN,12500000,3
1917,3,P&T Layout,14000000,5
953,3,Kothanur,8000000,2
1140,3,R.K. Hegde Nagar,5200000,2
1800,3,Pavan brindavan layout,11700000,3
1650,3,Raghuvanahalli,9000000,3
1116,3,Harohalli,5900000,2
1372,3,EPIP Zone,7000000,2
1200,3,Chikkalasandra,18000000,3
1540,3,Kempe Gowda Nagar,8775000,3
1464,3,Bidaraguppe,5500000,3
1330,3,Thippasandra,7900000,2
1075,3,affinity,8500000,2
1000,3,affinity,8400000,2
1190,3,Gunjur,5500000,2
2162,4,Chandapura,11000000,3
1225,3,Sahakara Nagar,7500000,2
1300,3,Begur,6000000,2
1050,3,Marsur,4500000,2
1100,3,Bhoganhalli,8500000,2
5800,5,5th Stage,43000000,5
1775,3,Nehru Nagar,11000000,3
949,3,Ittangur,5200000,2
1050,3,krishnarajapu,4500000,3
4000,5,Akshayanagara East,25000000,3
1090,3,Vibhutipura,7300000,2
1215,3,Narayanapura,8800000,2
1453,3,Kudlu,6800000,3
1091,3,Hampapura,3800000,2
2400,4,SHIVADURGANADANAM,8500000,3
1850,3,Bommanahalli,18000000,3
1200,3,Chikkathoguru Village,7000000,2
2655,4,Sarjapur,28500000,4
1499,3,Lingadheeranahalli,9000000,3
1500,3,Dodsworth Layout,11900000,3
1400,3,Duravani Nagar,11500000,4
650,2,Suryanagar,2600000,2
800,1,M Vishveshvaraiah Nagar,7700000,2
1450,3,Srinivasa Nagar,13000000,3
2400,4,Shivadurga nandakam,9000000,3
1188,3,Amrutahalli,6500000,2
1050,3,krishna villa apartmen,6000000,2
